en	ha
What kind of weather do they have?##person,person,horse,frisbee	Wane irin yanayi suke dashi?
What is on the road?##bus,person,person	Menene a kan hanyar?
What is covering the mountains?##person,snowboard	Menene ya rufe duwatsun?
Gray.##person,person,person,kite,person,person,kite,person,person,person	Ruwan toka.
Old.##person,person,bench,person,bench,person,handbag,bench,bench,backpack	Tsoho.
When was this picture taken?##horse,person,person	Yaushe aka ɗauka wannan hoton?
What is the cat eating?##cat,broccoli	Me magen ke ci?
A blue motorbike.##motorcycle,person,person,motorcycle	shuɗi babur.
What is behind the man?##person,surfboard	Menene a bayan mutumin?
What is attached to the person's feet?##person,surfboard	Menene a haɗe da ƙafafuwan mutumin?
In the middle.##bench,bench,person	A tsakiya.
Day time.##sink,refrigerator	Da rana
Red.##chair,bed,bed,potted plant	Ja.
In a bus station.##person,person,person,person,person,person,backpack,person,person,person	A cikin tashar mota
What color is the inside of the car?##cat,car,car,dog	Wani launi ne cikin motar?
When was this picture taken?##cup,dining table,cow,cat	Yaushe aka ɗauka wannan hoton?
When was the photo taken?##motorcycle,motorcycle,person,person,person,motorcycle,car	Da yaushe aka ɗauki hoton?
Dancing.##person,person,remote,couch,remote,tv,remote,book	Rawa.
The woman is holding the shoulder bag.##elephant,elephant,elephant,person,elephant,handbag,person,elephant	Matar tana ratayi da jakar kafaɗa
Flowers.##person,bench,bicycle,person,train,bench,bicycle,person,boat	furrai.
A field.##sheep,sheep,sheep,sheep,sheep,sheep	A fili.
What kind of sandwich is there?##sandwich,sandwich	Wani irin sanwici ne a gurin?
Green.##fire hydrant	Kore.
What does the sign in the background say?##person,person,person,bicycle,person,person,motorcycle,motorcycle,tv,motorcycle	Me alamar dake ƙasan bayan yace.
What is the pattern in this room?##sink,toilet	Wani irin zane ne a wannan dakin?
Feathers.##bird	Gashi.
How many people are there?##train,person,backpack,clock,person	Nawane adadin mutane a gurin?
School.##bus,car,traffic light,traffic light,car,traffic light,traffic light,traffic light,traffic light	Makaranta.
Mushrooms.##pizza,person,knife,pizza	Leman kwaɗo.
What color is the shirt of the child?##person,suitcase,chair,umbrella,suitcase	Wani launi ne da rigar yarinyar?
Brown.##donut,donut,donut,knife,pizza,donut,donut,book,book,book	Ruwan ƙasa.
Under the white truck.##dog,truck,car	A ƙarƙashin farar babbar motar.
What is the last word on the top sign?##stop sign,person	Wacce ce kalma ta ƙarshe a alamar saman?
What shade of color is the tails?##cow,boat,cow,cow,boat,person,boat,boat,boat,person	Wane ratsi launi ne wutsiyan?
Two.##person,fire hydrant	Biyu.
"What is surrounded by tall, yellow grass?"##motorcycle,person,person,backpack,motorcycle	"Menene yake zagaye da dogaye, ruwan ɗorawan ciyawa?"
What is on the table?##dining table,chair,chair,vase,chair,potted plant,chair,vase,chair,chair	Mene akan tebur?
Where is the water?##boat,boat,boat,truck,truck,boat	Ina ruwan?
What building is in the middle?##bench,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella	Wani gini ne a tsakiyan?
Where are the green lights?##traffic light,car,traffic light,car,car,traffic light,car,car,car,car	Ina korayen fitilun?
What is the color is the trim of clock?##clock,clock	Da wanne launin aka zagaye agogon?
3##airplane	3
Black mirror frame.##person,person,remote,couch,remote,tv,remote,book	Baƙi madubi firem
Who is on the court?##person,person,person,person,person,person,person,person,person,chair	Waye a filin wasa?
How many people are in the picture?##person,person,handbag,potted plant,person,traffic light,person	Nawane adadin mutanen dake cikin hoton?
Where are the cats?##cat,cat,cat,cat,cat,chair,couch,cat	Ina magunan suke?
How many men are there?##person,frisbee,person,bench	Maza nawa ne a nan?
Three.##person,person,bicycle,person,person,person,clock,person,person,motorcycle	Uku.
Where is the spire on the church?##clock,clock,book,traffic light,book,book	Ina spire yake a coci?
Person on snowboard.##person,snowboard,bicycle	Mutum akan allon sufar ƙanƙara.
None.##scissors,bottle,knife,cup,bowl,dining table,dining table	Babu.
Wood.##tv,chair,tv,person,keyboard,person,keyboard,laptop,laptop,laptop	Katako.
Where is a shelf?##sink,sink,sink,sink,tv,microwave,tv	Ina katakon ajiya?
A canopy.##bed,bed	Rumfa.
What are behind the tomatoes?##orange,broccoli,orange,apple,orange,orange,potted plant,apple,apple,carrot	Menene a bayan tumatu ran?
Where is the fork?##fork,cup,spoon,cup,dining table,cake	Ina cokali yatsu?
Bushes.##giraffe,giraffe,zebra,zebra,giraffe,zebra,giraffe,zebra,zebra,zebra	Ciyayi.
How many stop signs are there?##train,stop sign,car,person,potted plant,person,car,stop sign,car,potted plant	Alamar tsayawa nawa ne a nan?
What is the yellow object in the cow's ear?##cow,cow,elephant	Wanne abu ne mai launin rawaya a cikin kunnan San?
Blue.##surfboard,surfboard,surfboard,person,surfboard,person,person,surfboard,surfboard,person	Shuɗi.
How many colors are the giraffes?##giraffe,giraffe,car	Launin nawa ne jikin raƙumin dawa?
Where is the woman looking?##umbrella,person,person,person,person,person,handbag,person,person	Ina matar take kallo?
How many people appear in this picture?##airplane,car,boat,person	Mutane nawa ne suka fito a wannan hoton?
On the platform.##train,person,person,person,person,suitcase,person,person,suitcase,person	A kan dandamali.
Garage in gold letters.##	Garage a cikin harrufa launin zinare.
What is covering the ground?##person,umbrella,person,umbrella,umbrella,person,person,person,person,person	Menene ya rufe ƙasa?
How much pizza remains on the table?##fork,person,pizza,chair,dining table,person,knife,person,cup,chair	Fiza nawa ce tayi ragowa a kan tebur?
Brown.##boat,boat,boat,person,boat,boat,boat,boat,boat,boat	Ruwan ƙasa-ƙasa.
Bell.##cat,bottle,dining table,chair,bench,chair,chair	Ƙararrawa.
How many people are there?##person,tv,person,remote,remote,person,person,tv,book,car	Nawane adadin mutane a gurin?
Day time.##person,elephant,person	Da rana.
It is White.##truck,car	Fari ne.
At the airport.##airplane,airplane,airplane,truck,airplane,airplane,truck,airplane	A filin jirgin sama.
How can these two different animals live together?##zebra,zebra,person,zebra,person,frisbee,horse,person,car	Ta yaya wa'ennan dabbobi biyu mabanbanta zasu iya rayuwa tare?
Hats.##horse,horse,person,person	Huluna.
What is the color of the grass?##person,car,fire hydrant	Wani launi ne ciyawar?
Who is in the pic?##bottle,bottle,bottle,bottle,wine glass,bottle,bottle,wine glass,cup,wine glass	Waye a hoton?
What is the relationship between zebras?##zebra,zebra	Wacce alaƙa ce tsakanin jakunan dawan?
A frisbee.##person,person,frisbee,frisbee	firisbi.
Gray.##person,person,person,kite,person,person,kite,person,person,person	Ruwan toka.
6##airplane,train	6
Yaks.##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra	Yak.
Green.##train,train,car,bus,train,bus,bus,bus,bus	Kore.
Zero.##bed,book,book,book,book,book,book,book,book,book	Babu.
What is in the air?##person,motorcycle	Mene a iska?
How many sets of wheels is visible?##airplane	Ƙafafu nawa ake iya gani?
One.##person,stop sign,person,handbag,handbag	Ɗaya.
Grey.##stop sign	Ruwan toka.
Gray.##person,tie,bowl,person,chair,tv,chair,bench	Ruwan toka.
Above the closed cabinets.##tv,vase,vase,bowl,apple,apple,refrigerator,oven,bowl,oven	A saman rufaffiyar kabad.
The wing flaps.##airplane	Maharban fuffuken.
A book.##person,car,car,book,car,person,bench,bench	littafi.
Daytime.##skateboard,person,person	Da rana.
Two.##tv,chair,chair,book,teddy bear,book,book,book,book,book	Biyu.
The spectators.##motorcycle,person,chair,chair,couch	`Yan kallo
In front of window.##vase,vase,bowl,bowl,vase,sports ball,bottle,bottle,vase,potted plant	A gaban taga.
What is leaning against the headboard?##bed	Mene jingine jikin fuskar gado?
Hat.##umbrella,person,person,potted plant,potted plant,potted plant,kite,handbag,handbag,potted plant	Hula.
No one.##tv,chair,chair,book,teddy bear,book,book,book,book,book	Ba kowa.
Black.##motorcycle,clock,motorcycle,car,car,car,car,car,clock	Baƙi.
A man.##motorcycle,person,motorcycle,person,person,car,car,person,car	Namiji.
What sport is this?##person,baseball glove,sports ball,person,baseball bat,person,person,person	Wana wasan motsa jiki wannan?
White.##keyboard,person,cell phone,keyboard,person,book,tv,person,person,chair	Fari.
Sunny.##person,person,person,person,skis,backpack,skis,skis,backpack,skis	Da rana.
One.##airplane	Ɗaya.
The turn signals.##motorcycle	Alamar juyawa.
What is this?##train	Mene wannan?
One.##person,boat	ɗaya.
Tennis.##person,person,person,person,person,person,tennis racket,person,person,person	Tanis.
Where is this picture taken?##zebra,zebra,zebra,zebra,zebra	Ina aka ɗauki wannan hoton?
Where is the fence?##horse,horse	Ina dangar?
Mounted on the wall.##bed,tv	Maƙale a bango.
What is eating the doughnut?##donut,cat,person	Me yakecin donut?
What color are the boy's shoes?##person,frisbee,car,car,car,car,baseball glove,car,car,car	Mene launin takalmin yaron?
How many windows are on the left building?##clock,clock,car,car,car,car,car	Taga nawa ce a ginin dake hagu?
Cold.##person	Sanyi.
At daytime.##bench,person	Da rana.
Checked.##sink,toilet	Mai gida-gida.
What animal is watching the computer screen?##cat,laptop,person,keyboard,backpack	Wacce dabba ce take kallon  fuskar kwamfuta?
Knob.##toilet,book	Hannun kofar.
How many people are there?##banana,person,bottle,cup,bottle,cup,dining table,bottle,person,bottle	Mutane nawa ne a nan?
What keeps the sheep in?##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	Me ya ajjiye tumaki waje ɗaya?
On the window sill.##cat,bird	A kan katakon taga.
What color is the table decoration?##person,cup,bench,bowl,bowl,pizza,pizza,bench,person,banana	Wanne launi ne abun adon kan tebur din?
What does the red mark on the person mean?##	Me jan makin jikin mutumin yake nufi?
Two.##boat,dog,boat,boat,person,person,boat,boat,boat,boat	Biyu.
What is this woman wearing?##person,tennis racket,person,person,person,chair	Me matar ta saka?
Of stone.##clock,clock,chair,person,person,person,bench	Da dutse.
White.##person,tie,refrigerator	Fari.
What is in the background?##horse,sheep,dog,horse	Menene a bayan?
On the scoreboard.##person,person,sports ball,tennis racket	A kan allon maki.
A truck.##truck,person,person,person	Babbar mota.
The bottom.##cake,person,bird	a ƙasa.
What is the parking location?##airplane,person,truck,person,truck,person,car,clock,truck	Menene gurin ajiyan?
When was this photo taken?##airplane,person,person,person,person,person,person,person,person	A yaushe aka ɗauki wannan hoton?
Where is the chicken?##sandwich,sandwich	Ina naman kazar?
What is on the floor of the open expanse?##bench,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella	Menene a ƙasan buɗaddan filin?
Where are the trees in this photo?##truck	A ina bishiyon suke ajikin hoton
When was the photo taken?##person,skateboard,person	Yaushe aka ɗauka hoton?
What color are the hands on the clocks?##clock,clock,clock	Wanne launi ne hannayen agogon?
At a train station.##train	A tashar jirgin ƙasa.
A pen.##cup,toothbrush,toothbrush,bowl,bottle,toothbrush	Alkalamin rubutu.
Who cooked the cake?##person,cake,person,fork,cake,banana,cake,person	Waye yayi kek din?
Blue.##orange,bowl,sports ball,broccoli	shuɗi.
What number is on the train?##train,clock,clock,clock,bottle,spoon	Wacce lamba ce a jikin jirgin ƙasan?
What is under the hat?##tie,knife,person	Menene a ƙasan hular?
In the air.##person,tennis racket,sports ball,baseball bat	A iska.
In the air.##person,kite,person,person	A iska.
What is the girl's hair color and style?##person,tie,couch,couch	Menene launin gashin yarinyar da tsarin sa?
When was the photo taken?##bus,person,truck,person,car,stop sign,person	Yaushe aka ɗauki hoton?
Top left.##bus	Sama daga hagu.
On a wooden table.##cup,pizza,pizza,cup,pizza,knife,pizza,dining table,pizza	Akan teburi.
Trees.##person,person,cell phone,cell phone	Bishiyoyi.
Neon yellow.##chair,chair,tv,chair,chair,chair,chair,chair,chair,chair	Rawaya.
How many boxcars are between the front and the red ones?##train	Nawane adadin motar kayan jirgin ƙasa dake tsakanin na farko da jajayen?
A dog.##dog,frisbee	kare.
Why is the flag slack?##traffic light	Meyasa tutar ke kwance?
Flowers.##toilet,sink,sink	furanni.
What color is the whizzo box?##bird,clock,cup,remote,vase,person,baseball bat,cell phone,truck,potted plant	Menene launin akwatin whizzo?
How many trucks are pictured?##truck,person,person,person	Manyan mota nawa ne a hoton?
What color are the train's stripes?##train	Mene launin layin dake jikin jirgin ƙasan?
Where is the plane sitting?##airplane,person,airplane,person,airplane	A ina jirgin sama ke ajjiye?
One.##bed,bed	Ɗaya.
Daytime.##person,person,skateboard,dog,person,bench,bench,bench,person,person	Da rana.
Red.##train	Ja.
Candle.##vase,vase,bowl,bowl,vase,sports ball,bottle,bottle,vase,potted plant	Kyandir.
Smiling.##person,skis,skis,skis	Murmushi.
What is all over the tire?##motorcycle	Mene a jikin taya?
How many men are in the photo?##person,cell phone,person,cell phone,potted plant	Nawane adadin maza a cikin hoton?
What color is the door?##bed,suitcase,sink,sink	Wanne launi ne da ƙofar?
One.##sandwich	Ɗaya.
What lines the road on both sides?##car,person,person,person,car,person,car,traffic light,bicycle,person	Me ya zagaye titin a duka gefen biyu?
What color is the truck?##truck	Mene launi jikin babbar motar?
In the cup.##cup,toothbrush,toothbrush,bowl,bottle,toothbrush	A cikin kofin.
What is red?##bowl,bowl,bowl,bowl,bowl,wine glass,tv,wine glass,bottle,bottle	Menene ja?
Black tee shirt.##person,bicycle,baseball glove,airplane,remote	Baƙar t-shirt.
A fence.##person,person,person,sports ball,baseball bat,baseball bat,bench,chair,bench,frisbee	Shinge.
A chef hat.##person,pizza,pizza,oven,bottle,bottle,bottle,apple,bottle,bottle	Hular masu girki.
What animal is shown?##horse,person,umbrella,umbrella,umbrella	Wacce dabba aka nuna?
In the street.##motorcycle,person,person,person,person,cow,car,person,car,frisbee	A kan hanya.
What is two toned?##person,tie,car,car,truck,car,cell phone,person	Menene me launi biyu?
What is white?##airplane,person,person,car,truck,truck,person	Mene ne fari?
What is in the picture?##clock,clock,boat	Menene a cikin hoton?
Zero.##giraffe,giraffe	Babu.
Clock tower.##person,person,person,handbag,person,person,person,person,person,person	Agogon hasumiya.
Who is in the picture?##skateboard,person	Wanene a cikin hoton?
In a plain.##giraffe	A fili.
Yellow.##person,hot dog,dining table,person	Ruwan ɗorawa.
Daytime.##person,person,person,skateboard,person,skateboard,person	Da rana.
What is on the side of the vehicle that is shiny?##cat,car,car,person,person	Mene ne mai kwalli a gefen abin hawan?
Who is in the water?##person,person,person,person,person,person,person,surfboard,person,person	Waye acikin ruwan?
